




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	mirtarbase_human_background.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	mirtarbase_human_background.txt - REFLIST (14675)	upload_1 (77)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
regulation of canonical NF-kappaB signal transduction (GO:0043122)	244	7	1.28	+	5.47	2.88E-04	1.20E-02
positive regulation of cell migration (GO:0030335)	489	14	2.57	+	5.46	2.12E-07	2.95E-05
skin development (GO:0043588)	211	6	1.11	+	5.42	8.35E-04	2.73E-02
regulation of leukocyte cell-cell adhesion (GO:1903037)	322	9	1.69	+	5.33	4.59E-05	2.67E-03
regulation of apoptotic signaling pathway (GO:2001233)	358	10	1.88	+	5.32	1.69E-05	1.20E-03
negative regulation of developmental process (GO:0051093)	795	22	4.17	+	5.27	6.24E-11	3.71E-08
positive regulation of cell motility (GO:2000147)	507	14	2.66	+	5.26	3.28E-07	4.21E-05
cellular response to chemical stress (GO:0062197)	254	7	1.33	+	5.25	3.67E-04	1.43E-02
cellular response to growth factor stimulus (GO:0071363)	436	12	2.29	+	5.25	2.60E-06	2.43E-04
homeostasis of number of cells (GO:0048872)	255	7	1.34	+	5.23	3.76E-04	1.44E-02
cellular response to nitrogen compound (GO:1901699)	549	15	2.88	+	5.21	1.34E-07	2.06E-05
positive regulation of locomotion (GO:0040017)	519	14	2.72	+	5.14	4.36E-07	5.23E-05
lymphocyte differentiation (GO:0030098)	261	7	1.37	+	5.11	4.32E-04	1.63E-02
positive regulation of cell cycle (GO:0045787)	302	8	1.58	+	5.05	1.80E-04	8.30E-03
brain development (GO:0007420)	645	17	3.38	+	5.02	2.88E-08	5.71E-06
morphogenesis of an epithelium (GO:0002009)	419	11	2.20	+	5.00	1.11E-05	8.44E-04
head development (GO:0060322)	686	18	3.60	+	5.00	1.12E-08	2.44E-06
positive regulation of growth (GO:0045927)	229	6	1.20	+	4.99	1.27E-03	3.74E-02
cell-cell signaling by wnt (GO:0198738)	268	7	1.41	+	4.98	5.07E-04	1.85E-02
Wnt signaling pathway (GO:0016055)	268	7	1.41	+	4.98	5.07E-04	1.85E-02
regulation of cell-cell adhesion (GO:0022407)	425	11	2.23	+	4.93	1.26E-05	9.55E-04
heart morphogenesis (GO:0003007)	232	6	1.22	+	4.93	1.36E-03	3.91E-02
regulation of lipid metabolic process (GO:0019216)	274	7	1.44	+	4.87	5.78E-04	2.04E-02
cellular response to peptide (GO:1901653)	277	7	1.45	+	4.82	6.17E-04	2.14E-02
negative regulation of multicellular organismal process (GO:0051241)	952	24	5.00	+	4.80	4.64E-11	3.01E-08
tissue morphogenesis (GO:0048729)	517	13	2.71	+	4.79	2.58E-06	2.43E-04
sex differentiation (GO:0007548)	240	6	1.26	+	4.76	1.62E-03	4.41E-02
regulation of MAPK cascade (GO:0043408)	561	14	2.94	+	4.76	1.10E-06	1.19E-04
regulation of leukocyte activation (GO:0002694)	481	12	2.52	+	4.75	7.11E-06	5.75E-04
response to lipopolysaccharide (GO:0032496)	281	7	1.47	+	4.75	6.71E-04	2.31E-02
cell population proliferation (GO:0008283)	647	16	3.39	+	4.71	1.88E-07	2.75E-05
positive regulation of transferase activity (GO:0051347)	324	8	1.70	+	4.71	2.90E-04	1.20E-02
positive regulation of cytokine production (GO:0001819)	405	10	2.13	+	4.71	4.83E-05	2.80E-03
negative regulation of cell population proliferation (GO:0008285)	608	15	3.19	+	4.70	4.98E-07	5.84E-05
regulation of developmental growth (GO:0048638)	284	7	1.49	+	4.70	7.14E-04	2.43E-02
negative regulation of cell cycle (GO:0045786)	325	8	1.71	+	4.69	2.96E-04	1.22E-02
circulatory system development (GO:0072359)	814	20	4.27	+	4.68	4.40E-09	1.26E-06
regulation of cell activation (GO:0050865)	530	13	2.78	+	4.67	3.39E-06	3.14E-04
regulation of T cell activation (GO:0050863)	327	8	1.72	+	4.66	3.09E-04	1.25E-02
cellular response to organonitrogen compound (GO:0071417)	491	12	2.58	+	4.66	8.75E-06	6.75E-04
epidermis development (GO:0008544)	246	6	1.29	+	4.65	1.83E-03	4.81E-02
response to cytokine (GO:0034097)	701	17	3.68	+	4.62	9.64E-08	1.58E-05
transmembrane receptor protein tyrosine kinase signaling pathway (GO:0007169)	372	9	1.95	+	4.61	1.38E-04	6.84E-03
negative regulation of cell migration (GO:0030336)	248	6	1.30	+	4.61	1.91E-03	4.97E-02
regulation of cell migration (GO:0030334)	827	20	4.34	+	4.61	5.77E-09	1.48E-06
regulation of cell motility (GO:2000145)	869	21	4.56	+	4.61	2.21E-09	6.71E-07
positive regulation of cellular catabolic process (GO:0031331)	290	7	1.52	+	4.60	8.08E-04	2.65E-02
enzyme-linked receptor protein signaling pathway (GO:0007167)	544	13	2.85	+	4.55	4.51E-06	4.00E-04
response to molecule of bacterial origin (GO:0002237)	294	7	1.54	+	4.54	8.75E-04	2.81E-02
epithelial tube morphogenesis (GO:0060562)	294	7	1.54	+	4.54	8.75E-04	2.81E-02
gland development (GO:0048732)	381	9	2.00	+	4.50	1.66E-04	7.80E-03
regulation of mitotic cell cycle (GO:0007346)	466	11	2.45	+	4.50	2.97E-05	1.83E-03
camera-type eye development (GO:0043010)	297	7	1.56	+	4.49	9.29E-04	2.93E-02
positive regulation of intracellular signal transduction (GO:1902533)	898	21	4.71	+	4.46	3.97E-09	1.16E-06
positive regulation of cell adhesion (GO:0045785)	428	10	2.25	+	4.45	7.67E-05	4.14E-03
mononuclear cell differentiation (GO:1903131)	300	7	1.57	+	4.45	9.85E-04	3.04E-02
cellular response to lipid (GO:0071396)	472	11	2.48	+	4.44	3.33E-05	2.03E-03
growth (GO:0040007)	387	9	2.03	+	4.43	1.86E-04	8.55E-03
developmental growth (GO:0048589)	387	9	2.03	+	4.43	1.86E-04	8.53E-03
regulation of lymphocyte activation (GO:0051249)	430	10	2.26	+	4.43	7.97E-05	4.29E-03
regulation of locomotion (GO:0040012)	905	21	4.75	+	4.42	4.56E-09	1.28E-06
regulation of cytokine production (GO:0001817)	649	15	3.41	+	4.40	1.13E-06	1.21E-04
positive regulation of apoptotic process (GO:0043065)	476	11	2.50	+	4.40	3.60E-05	2.16E-03
cytokine-mediated signaling pathway (GO:0019221)	307	7	1.61	+	4.35	1.13E-03	3.38E-02
regulation of cellular catabolic process (GO:0031329)	614	14	3.22	+	4.35	3.19E-06	2.96E-04
central nervous system development (GO:0007417)	881	20	4.62	+	4.33	1.68E-08	3.47E-06
embryonic morphogenesis (GO:0048598)	529	12	2.78	+	4.32	1.84E-05	1.25E-03
negative regulation of apoptotic process (GO:0043066)	805	18	4.22	+	4.26	1.28E-07	2.01E-05
positive regulation of programmed cell death (GO:0043068)	493	11	2.59	+	4.25	4.95E-05	2.85E-03
protein localization to membrane (GO:0072657)	404	9	2.12	+	4.25	2.56E-04	1.11E-02
phosphorylation (GO:0016310)	629	14	3.30	+	4.24	4.21E-06	3.80E-04
regulation of hemopoiesis (GO:1903706)	364	8	1.91	+	4.19	6.28E-04	2.17E-02
lymphocyte activation (GO:0046649)	412	9	2.16	+	4.16	2.96E-04	1.22E-02
epithelium development (GO:0060429)	916	20	4.81	+	4.16	3.22E-08	6.15E-06
response to bacterium (GO:0009617)	504	11	2.64	+	4.16	6.04E-05	3.38E-03
positive regulation of cell population proliferation (GO:0008284)	827	18	4.34	+	4.15	1.91E-07	2.74E-05
response to peptide (GO:1901652)	414	9	2.17	+	4.14	3.07E-04	1.25E-02
negative regulation of programmed cell death (GO:0043069)	829	18	4.35	+	4.14	1.98E-07	2.81E-05
regulation of cell adhesion (GO:0030155)	693	15	3.64	+	4.13	2.56E-06	2.43E-04
neuron projection development (GO:0031175)	602	13	3.16	+	4.12	1.34E-05	9.94E-04
negative regulation of transcription by RNA polymerase II (GO:0000122)	836	18	4.39	+	4.10	2.25E-07	3.10E-05
negative regulation of immune system process (GO:0002683)	418	9	2.19	+	4.10	3.29E-04	1.32E-02
cellular response to oxygen-containing compound (GO:1901701)	933	20	4.90	+	4.09	4.37E-08	7.84E-06
cell morphogenesis (GO:0000902)	607	13	3.18	+	4.08	1.47E-05	1.07E-03
regulation of cell growth (GO:0001558)	374	8	1.96	+	4.08	7.50E-04	2.51E-02
blood vessel development (GO:0001568)	469	10	2.46	+	4.06	1.63E-04	7.69E-03
response to oxidative stress (GO:0006979)	331	7	1.74	+	4.03	1.73E-03	4.61E-02
cellular response to cytokine stimulus (GO:0071345)	617	13	3.24	+	4.02	1.74E-05	1.22E-03
positive regulation of gene expression (GO:0010628)	1001	21	5.25	+	4.00	2.67E-08	5.38E-06
response to peptide hormone (GO:0043434)	337	7	1.77	+	3.96	1.92E-03	4.99E-02
positive regulation of phosphorylation (GO:0042327)	533	11	2.80	+	3.93	9.96E-05	5.19E-03
intracellular signaling cassette (GO:0141124)	727	15	3.81	+	3.93	4.60E-06	4.05E-04
cellular response to endogenous stimulus (GO:0071495)	1019	21	5.35	+	3.93	3.64E-08	6.77E-06
multicellular organismal-level homeostasis (GO:0048871)	534	11	2.80	+	3.93	1.01E-04	5.25E-03
vasculature development (GO:0001944)	487	10	2.56	+	3.91	2.21E-04	9.83E-03
intracellular signal transduction (GO:0035556)	1322	27	6.94	+	3.89	2.40E-10	1.23E-07
apoptotic process (GO:0006915)	932	19	4.89	+	3.89	2.25E-07	3.08E-05
positive regulation of protein phosphorylation (GO:0001934)	491	10	2.58	+	3.88	2.36E-04	1.03E-02
cellular response to hormone stimulus (GO:0032870)	442	9	2.32	+	3.88	4.94E-04	1.81E-02
regulation of cell development (GO:0060284)	743	15	3.90	+	3.85	5.99E-06	5.01E-04
positive regulation of molecular function (GO:0044093)	1042	21	5.47	+	3.84	5.34E-08	9.47E-06
regulation of cellular component biogenesis (GO:0044087)	847	17	4.44	+	3.83	1.38E-06	1.41E-04
positive regulation of organelle organization (GO:0010638)	451	9	2.37	+	3.80	5.72E-04	2.02E-02
response to organic cyclic compound (GO:0014070)	752	15	3.95	+	3.80	6.93E-06	5.67E-04
positive regulation of phosphorus metabolic process (GO:0010562)	602	12	3.16	+	3.80	6.51E-05	3.60E-03
positive regulation of phosphate metabolic process (GO:0045937)	602	12	3.16	+	3.80	6.51E-05	3.59E-03
positive regulation of signal transduction (GO:0009967)	1358	27	7.13	+	3.79	4.39E-10	1.81E-07
regulation of anatomical structure morphogenesis (GO:0022603)	756	15	3.97	+	3.78	7.38E-06	5.91E-04
regulation of amide metabolic process (GO:0034248)	404	8	2.12	+	3.77	1.23E-03	3.64E-02
epithelial cell differentiation (GO:0030855)	507	10	2.66	+	3.76	3.04E-04	1.25E-02
response to inorganic substance (GO:0010035)	457	9	2.40	+	3.75	6.28E-04	2.18E-02
programmed cell death (GO:0012501)	966	19	5.07	+	3.75	3.92E-07	4.86E-05
embryonic organ development (GO:0048568)	407	8	2.14	+	3.75	1.29E-03	3.76E-02
neurogenesis (GO:0022008)	1171	23	6.14	+	3.74	1.66E-08	3.47E-06
cell death (GO:0008219)	969	19	5.08	+	3.74	4.11E-07	5.01E-05
regulation of cell population proliferation (GO:0042127)	1435	28	7.53	+	3.72	2.82E-10	1.35E-07
regulation of nervous system development (GO:0051960)	411	8	2.16	+	3.71	1.38E-03	3.95E-02
sensory organ development (GO:0007423)	514	10	2.70	+	3.71	3.40E-04	1.34E-02
response to biotic stimulus (GO:0009607)	1083	21	5.68	+	3.70	1.03E-07	1.67E-05
regulation of cell cycle (GO:0051726)	983	19	5.16	+	3.68	5.11E-07	5.95E-05
regulation of apoptotic process (GO:0042981)	1314	25	6.89	+	3.63	6.06E-09	1.50E-06
cellular anatomical entity morphogenesis (GO:0032989)	528	10	2.77	+	3.61	4.20E-04	1.59E-02
DNA-templated transcription (GO:0006351)	476	9	2.50	+	3.60	8.40E-04	2.73E-02
localization within membrane (GO:0051668)	477	9	2.50	+	3.60	8.52E-04	2.76E-02
generation of neurons (GO:0048699)	1009	19	5.29	+	3.59	7.61E-07	8.45E-05
neuron development (GO:0048666)	746	14	3.91	+	3.58	2.90E-05	1.83E-03
positive regulation of catalytic activity (GO:0043085)	747	14	3.92	+	3.57	2.94E-05	1.85E-03
neuron projection morphogenesis (GO:0048812)	427	8	2.24	+	3.57	1.75E-03	4.63E-02
DNA damage response (GO:0006974)	694	13	3.64	+	3.57	5.92E-05	3.34E-03
regulation of multicellular organismal development (GO:2000026)	1231	23	6.46	+	3.56	4.20E-08	7.73E-06
regulation of intracellular signal transduction (GO:1902531)	1553	29	8.15	+	3.56	3.36E-10	1.52E-07
positive regulation of cell communication (GO:0010647)	1510	28	7.92	+	3.53	9.11E-10	3.15E-07
plasma membrane bounded cell projection morphogenesis (GO:0120039)	432	8	2.27	+	3.53	1.88E-03	4.92E-02
positive regulation of signaling (GO:0023056)	1513	28	7.94	+	3.53	9.53E-10	3.22E-07
tube development (GO:0035295)	811	15	4.26	+	3.52	1.70E-05	1.20E-03
regulation of growth (GO:0040008)	541	10	2.84	+	3.52	5.08E-04	1.85E-02
RNA biosynthetic process (GO:0032774)	487	9	2.56	+	3.52	9.87E-04	3.03E-02
regulation of programmed cell death (GO:0043067)	1353	25	7.10	+	3.52	1.10E-08	2.44E-06
response to nitrogen compound (GO:1901698)	923	17	4.84	+	3.51	4.43E-06	3.98E-04
positive regulation of protein modification process (GO:0031401)	657	12	3.45	+	3.48	1.49E-04	7.11E-03
animal organ morphogenesis (GO:0009887)	877	16	4.60	+	3.48	1.01E-05	7.74E-04
response to other organism (GO:0051707)	1043	19	5.47	+	3.47	1.25E-06	1.31E-04
regulation of immune system process (GO:0002682)	1263	23	6.63	+	3.47	6.75E-08	1.18E-05
response to external biotic stimulus (GO:0043207)	1045	19	5.48	+	3.47	1.29E-06	1.33E-04
embryo development ending in birth or egg hatching (GO:0009792)	607	11	3.18	+	3.45	3.09E-04	1.25E-02
neuron differentiation (GO:0030182)	942	17	4.94	+	3.44	5.82E-06	4.90E-04
negative regulation of intracellular signal transduction (GO:1902532)	500	9	2.62	+	3.43	1.19E-03	3.55E-02
positive regulation of cell differentiation (GO:0045597)	782	14	4.10	+	3.41	4.85E-05	2.80E-03
cell surface receptor signaling pathway (GO:0007166)	1679	30	8.81	+	3.41	4.26E-10	1.81E-07
tube morphogenesis (GO:0035239)	618	11	3.24	+	3.39	3.60E-04	1.40E-02
positive regulation of developmental process (GO:0051094)	1180	21	6.19	+	3.39	4.36E-07	5.19E-05
leukocyte activation (GO:0045321)	510	9	2.68	+	3.36	1.36E-03	3.92E-02
response to endogenous stimulus (GO:0009719)	1252	22	6.57	+	3.35	2.65E-07	3.59E-05
regulation of catabolic process (GO:0009894)	912	16	4.79	+	3.34	1.64E-05	1.17E-03
biological process involved in interspecies interaction between organisms (GO:0044419)	1202	21	6.31	+	3.33	5.92E-07	6.72E-05
regulation of cell differentiation (GO:0045595)	1378	24	7.23	+	3.32	7.43E-08	1.29E-05
regulation of phosphorylation (GO:0042325)	862	15	4.52	+	3.32	3.48E-05	2.10E-03
response to hormone (GO:0009725)	691	12	3.63	+	3.31	2.38E-04	1.04E-02
positive regulation of immune response (GO:0050778)	522	9	2.74	+	3.29	1.60E-03	4.37E-02
response to lipid (GO:0033993)	756	13	3.97	+	3.28	1.40E-04	6.87E-03
cellular homeostasis (GO:0019725)	582	10	3.05	+	3.27	8.93E-04	2.85E-02
cell motility (GO:0048870)	876	15	4.60	+	3.26	4.18E-05	2.46E-03
negative regulation of cellular metabolic process (GO:0031324)	2242	38	11.76	+	3.23	2.13E-12	3.52E-09
chordate embryonic development (GO:0043009)	590	10	3.10	+	3.23	9.91E-04	3.04E-02
cell migration (GO:0016477)	769	13	4.03	+	3.22	1.66E-04	7.80E-03
regulation of developmental process (GO:0050793)	2130	36	11.18	+	3.22	1.31E-11	1.30E-08
immune system process (GO:0002376)	1601	27	8.40	+	3.21	1.62E-08	3.44E-06
response to oxygen-containing compound (GO:1901700)	1369	23	7.18	+	3.20	2.92E-07	3.81E-05
positive regulation of macromolecule biosynthetic process (GO:0010557)	2263	38	11.87	+	3.20	2.85E-12	4.25E-09
regulation of protein modification process (GO:0031399)	1075	18	5.64	+	3.19	8.30E-06	6.47E-04
regulation of cell cycle process (GO:0010564)	657	11	3.45	+	3.19	6.03E-04	2.11E-02
positive regulation of cellular biosynthetic process (GO:0031328)	2335	39	12.25	+	3.18	1.40E-12	2.99E-09
regulation of multicellular organismal process (GO:0051239)	2516	42	13.20	+	3.18	9.31E-14	6.93E-10
positive regulation of protein metabolic process (GO:0051247)	1079	18	5.66	+	3.18	8.73E-06	6.77E-04
cellular response to chemical stimulus (GO:0070887)	2039	34	10.70	+	3.18	1.01E-10	5.54E-08
positive regulation of biosynthetic process (GO:0009891)	2354	39	12.35	+	3.16	1.83E-12	3.40E-09
positive regulation of response to stimulus (GO:0048584)	1893	31	9.93	+	3.12	1.66E-09	5.15E-07
cellular response to stress (GO:0033554)	1413	23	7.41	+	3.10	5.13E-07	5.92E-05
positive regulation of multicellular organismal process (GO:0051240)	1416	23	7.43	+	3.10	5.33E-07	6.10E-05
negative regulation of gene expression (GO:0010629)	864	14	4.53	+	3.09	1.41E-04	6.88E-03
negative regulation of cellular biosynthetic process (GO:0031327)	1863	30	9.78	+	3.07	5.21E-09	1.41E-06
cellular response to organic substance (GO:0071310)	1499	24	7.87	+	3.05	3.60E-07	4.58E-05
positive regulation of immune system process (GO:0002684)	812	13	4.26	+	3.05	2.83E-04	1.19E-02
negative regulation of biosynthetic process (GO:0009890)	1874	30	9.83	+	3.05	5.98E-09	1.51E-06
hemopoiesis (GO:0030097)	625	10	3.28	+	3.05	1.53E-03	4.25E-02
negative regulation of DNA-templated transcription (GO:0045892)	1126	18	5.91	+	3.05	1.56E-05	1.13E-03
regulation of phosphate metabolic process (GO:0019220)	1001	16	5.25	+	3.05	5.12E-05	2.91E-03
regulation of phosphorus metabolic process (GO:0051174)	1002	16	5.26	+	3.04	5.18E-05	2.93E-03
negative regulation of macromolecule biosynthetic process (GO:0010558)	1818	29	9.54	+	3.04	1.32E-08	2.85E-06
regulation of cellular localization (GO:0060341)	881	14	4.62	+	3.03	1.73E-04	8.02E-03
nervous system development (GO:0007399)	1891	30	9.92	+	3.02	7.41E-09	1.75E-06
negative regulation of RNA biosynthetic process (GO:1902679)	1137	18	5.97	+	3.02	1.79E-05	1.24E-03
homeostatic process (GO:0042592)	1223	19	6.42	+	2.96	1.29E-05	9.69E-04
negative regulation of metabolic process (GO:0009892)	2461	38	12.91	+	2.94	3.87E-11	2.62E-08
response to abiotic stimulus (GO:0009628)	972	15	5.10	+	2.94	1.35E-04	6.72E-03
negative regulation of RNA metabolic process (GO:0051253)	1237	19	6.49	+	2.93	1.51E-05	1.10E-03
positive regulation of cellular component organization (GO:0051130)	977	15	5.13	+	2.93	1.43E-04	6.98E-03
response to organonitrogen compound (GO:0010243)	847	13	4.44	+	2.93	4.25E-04	1.60E-02
cell development (GO:0048468)	1891	29	9.92	+	2.92	3.22E-08	6.22E-06
regulation of response to stress (GO:0080134)	1177	18	6.18	+	2.91	2.84E-05	1.82E-03
regulation of protein localization (GO:0032880)	790	12	4.15	+	2.89	7.93E-04	2.62E-02
anatomical structure formation involved in morphogenesis (GO:0048646)	857	13	4.50	+	2.89	4.75E-04	1.76E-02
negative regulation of cell communication (GO:0010648)	1253	19	6.57	+	2.89	1.82E-05	1.24E-03
negative regulation of signaling (GO:0023057)	1255	19	6.59	+	2.89	1.86E-05	1.26E-03
regulation of response to external stimulus (GO:0032101)	925	14	4.85	+	2.88	2.86E-04	1.19E-02
regulation of protein phosphorylation (GO:0001932)	795	12	4.17	+	2.88	8.38E-04	2.73E-02
response to external stimulus (GO:0009605)	1798	27	9.43	+	2.86	1.85E-07	2.75E-05
positive regulation of transport (GO:0051050)	734	11	3.85	+	2.86	1.49E-03	4.15E-02
positive regulation of macromolecule metabolic process (GO:0010604)	2958	44	15.52	+	2.83	9.58E-13	2.38E-09
defense response to other organism (GO:0098542)	746	11	3.91	+	2.81	1.69E-03	4.58E-02
chemical homeostasis (GO:0048878)	749	11	3.93	+	2.80	1.75E-03	4.63E-02
animal organ development (GO:0048513)	2384	35	12.51	+	2.80	1.58E-09	4.99E-07
regulation of immune response (GO:0050776)	750	11	3.94	+	2.80	1.77E-03	4.65E-02
cell cycle (GO:0007049)	1095	16	5.75	+	2.78	1.48E-04	7.09E-03
negative regulation of signal transduction (GO:0009968)	1171	17	6.14	+	2.77	9.52E-05	4.99E-03
anatomical structure morphogenesis (GO:0009653)	1929	28	10.12	+	2.77	2.02E-07	2.83E-05
positive regulation of cellular metabolic process (GO:0031325)	2896	42	15.20	+	2.76	1.22E-11	1.30E-08
negative regulation of macromolecule metabolic process (GO:0010605)	2277	33	11.95	+	2.76	8.70E-09	2.02E-06
regulation of signal transduction (GO:0009966)	2624	38	13.77	+	2.76	2.72E-10	1.35E-07
positive regulation of nitrogen compound metabolic process (GO:0051173)	2632	38	13.81	+	2.75	2.98E-10	1.39E-07
positive regulation of DNA-templated transcription (GO:0045893)	1524	22	8.00	+	2.75	7.19E-06	5.78E-04
positive regulation of RNA biosynthetic process (GO:1902680)	1527	22	8.01	+	2.75	7.42E-06	5.91E-04
tissue development (GO:0009888)	1465	21	7.69	+	2.73	1.38E-05	1.02E-03
regulation of organelle organization (GO:0033043)	1049	15	5.50	+	2.73	3.11E-04	1.26E-02
negative regulation of nucleobase-containing compound metabolic process (GO:0045934)	1334	19	7.00	+	2.71	4.34E-05	2.54E-03
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1839	26	9.65	+	2.69	1.11E-06	1.19E-04
embryo development (GO:0009790)	928	13	4.87	+	2.67	1.00E-03	3.06E-02
response to organic substance (GO:0010033)	2144	30	11.25	+	2.67	1.34E-07	2.08E-05
positive regulation of RNA metabolic process (GO:0051254)	1657	23	8.69	+	2.65	8.00E-06	6.30E-04
regulation of protein metabolic process (GO:0051246)	1878	26	9.85	+	2.64	1.67E-06	1.68E-04
heterocycle biosynthetic process (GO:0018130)	867	12	4.55	+	2.64	1.76E-03	4.66E-02
aromatic compound biosynthetic process (GO:0019438)	872	12	4.58	+	2.62	1.85E-03	4.85E-02
plasma membrane bounded cell projection organization (GO:0120036)	949	13	4.98	+	2.61	1.23E-03	3.62E-02
positive regulation of metabolic process (GO:0009893)	3219	44	16.89	+	2.61	1.98E-11	1.64E-08
regulation of cellular component organization (GO:0051128)	2124	29	11.14	+	2.60	4.13E-07	5.00E-05
negative regulation of nitrogen compound metabolic process (GO:0051172)	1909	26	10.02	+	2.60	2.28E-06	2.17E-04
response to chemical (GO:0042221)	2877	39	15.10	+	2.58	9.87E-10	3.27E-07
regulation of signaling (GO:0023051)	2974	40	15.60	+	2.56	6.32E-10	2.41E-07
regulation of cell communication (GO:0010646)	2979	40	15.63	+	2.56	6.66E-10	2.42E-07
regulation of molecular function (GO:0065009)	1721	23	9.03	+	2.55	1.50E-05	1.09E-03
regulation of catalytic activity (GO:0050790)	1199	16	6.29	+	2.54	4.14E-04	1.58E-02
regulation of transport (GO:0051049)	1366	18	7.17	+	2.51	1.95E-04	8.85E-03
cell projection organization (GO:0030030)	989	13	5.19	+	2.51	1.78E-03	4.68E-02
negative regulation of response to stimulus (GO:0048585)	1467	19	7.70	+	2.47	1.56E-04	7.39E-03
reproductive process (GO:0022414)	1097	14	5.76	+	2.43	1.54E-03	4.28E-02
negative regulation of cellular process (GO:0048523)	4177	53	21.92	+	2.42	2.18E-13	1.08E-09
reproduction (GO:0000003)	1106	14	5.80	+	2.41	1.67E-03	4.53E-02
signal transduction (GO:0007165)	3545	44	18.60	+	2.37	5.64E-10	2.21E-07
regulation of response to stimulus (GO:0048583)	3386	42	17.77	+	2.36	3.75E-09	1.12E-06
system development (GO:0048731)	3014	37	15.81	+	2.34	7.94E-08	1.36E-05
regulation of gene expression (GO:0010468)	4127	50	21.65	+	2.31	2.67E-11	2.09E-08
cell differentiation (GO:0030154)	2982	36	15.65	+	2.30	1.87E-07	2.75E-05
cellular developmental process (GO:0048869)	2985	36	15.66	+	2.30	1.91E-07	2.76E-05
regulation of biosynthetic process (GO:0009889)	4376	52	22.96	+	2.26	9.85E-12	1.13E-08
negative regulation of biological process (GO:0048519)	4470	53	23.45	+	2.26	4.84E-12	6.55E-09
regulation of nucleobase-containing compound metabolic process (GO:0019219)	3471	41	18.21	+	2.25	1.93E-08	3.94E-06
regulation of macromolecule biosynthetic process (GO:0010556)	4238	50	22.24	+	2.25	5.66E-11	3.51E-08
phosphate-containing compound metabolic process (GO:0006796)	1441	17	7.56	+	2.25	1.43E-03	4.07E-02
response to stress (GO:0006950)	2809	33	14.74	+	2.24	1.54E-06	1.56E-04
regulation of transcription by RNA polymerase II (GO:0006357)	2215	26	11.62	+	2.24	3.79E-05	2.25E-03
positive regulation of cellular process (GO:0048522)	4860	57	25.50	+	2.24	2.47E-13	9.19E-10
regulation of cellular biosynthetic process (GO:0031326)	4352	51	22.84	+	2.23	3.44E-11	2.44E-08
phosphorus metabolic process (GO:0006793)	1464	17	7.68	+	2.21	1.59E-03	4.37E-02
regulation of DNA-templated transcription (GO:0006355)	2928	34	15.36	+	2.21	1.89E-06	1.85E-04
regulation of localization (GO:0032879)	1729	20	9.07	+	2.20	5.20E-04	1.88E-02
regulation of RNA biosynthetic process (GO:2001141)	2943	34	15.44	+	2.20	1.99E-06	1.93E-04
signaling (GO:0023052)	3812	44	20.00	+	2.20	8.79E-09	2.01E-06
regulation of cellular metabolic process (GO:0031323)	5119	59	26.86	+	2.20	8.03E-14	1.20E-09
multicellular organism development (GO:0007275)	3363	38	17.65	+	2.15	3.81E-07	4.76E-05
regulation of RNA metabolic process (GO:0051252)	3212	36	16.85	+	2.14	1.22E-06	1.28E-04
cell communication (GO:0007154)	3944	44	20.69	+	2.13	3.35E-08	6.31E-06
regulation of nitrogen compound metabolic process (GO:0051171)	4673	52	24.52	+	2.12	2.25E-10	1.19E-07
regulation of macromolecule metabolic process (GO:0060255)	5091	56	26.71	+	2.10	1.46E-11	1.36E-08
positive regulation of biological process (GO:0048518)	5247	57	27.53	+	2.07	9.33E-12	1.16E-08
regulation of metabolic process (GO:0019222)	5530	60	29.02	+	2.07	7.66E-13	2.28E-09
regulation of primary metabolic process (GO:0080090)	4794	52	25.15	+	2.07	4.09E-10	1.79E-07
cellular response to stimulus (GO:0051716)	4950	53	25.97	+	2.04	4.82E-10	1.94E-07
regulation of biological quality (GO:0065008)	2406	25	12.62	+	1.98	5.09E-04	1.85E-02
response to stimulus (GO:0050896)	6097	61	31.99	+	1.91	1.88E-11	1.64E-08
anatomical structure development (GO:0048856)	4299	43	22.56	+	1.91	1.69E-06	1.69E-04
developmental process (GO:0032502)	4672	46	24.51	+	1.88	4.77E-07	5.63E-05
multicellular organismal process (GO:0032501)	5091	50	26.71	+	1.87	9.11E-08	1.51E-05
cellular component organization (GO:0016043)	4712	41	24.72	+	1.66	1.24E-04	6.31E-03
cellular component organization or biogenesis (GO:0071840)	4908	42	25.75	+	1.63	1.45E-04	7.03E-03
macromolecule metabolic process (GO:0043170)	4677	40	24.54	+	1.63	3.08E-04	1.25E-02
regulation of cellular process (GO:0050794)	8771	72	46.02	+	1.56	3.29E-11	2.45E-08
cellular metabolic process (GO:0044237)	5355	43	28.10	+	1.53	7.67E-04	2.56E-02
regulation of biological process (GO:0050789)	9198	72	48.26	+	1.49	6.36E-10	2.37E-07
nitrogen compound metabolic process (GO:0006807)	5367	42	28.16	+	1.49	1.30E-03	3.77E-02
