target_gene	organism	mirna	Total context++ score
USP15	mouse	mir197	-0.02
LMBR1	mouse	mir197	-0.01
SPPL3	mouse	mir197	-0.115
YWHAB	mouse	mir197	-0.3
SLC12A9	mouse	mir197	-0.185
DDX21	mouse	mir197	-0.05
PPTC7	mouse	mir197	-0.117
NFAT5	mouse	mir197	-0.01
TCF4	mouse	mir197	-0.01
ANXA6	mouse	mir197	-0.022
ERO1LB	mouse	mir197	-0.01
PES1	mouse	mir197	-0.225
SND1	mouse	mir197	-0.02
GLYCTK	mouse	mir197	-0.098
TSTD2	mouse	mir197	-0.298
BMP1	mouse	mir197	-0.025
ATRNL1	mouse	mir197	-0.01
THSD4	mouse	mir197	-0.03
OPHN1	mouse	mir197	-0.124
ZNF536	mouse	mir197	-0.047
TTC30A	mouse	mir197	-0.24
ERCC6	mouse	mir197	-0.011
MLF1	mouse	mir197	-0.039
GPR160	mouse	mir197	-0.176
NPEPL1	mouse	mir197	-0.164
PSMD12	mouse	mir197	-0.194
SH3BP2	mouse	mir197	-0.01
AREL1	mouse	mir197	-0.145
ORAI2	mouse	mir197	-0.33
ARIH2	mouse	mir197	-0.031
PEX14	mouse	mir197	-0.034
CNNM1	mouse	mir197	-0.217
MAGEB10	mouse	mir197	-0.148
CACNA2D1	mouse	mir197	-0.01
C12orf29	mouse	mir197	-0.01
LIG4	mouse	mir197	-0.107
ANK2	mouse	mir197	-0.208
NRP2	mouse	mir197	-0.014
SPOCK3	mouse	mir197	-0.057
BCL11B	mouse	mir197	-0.01
FAM212B	mouse	mir197	-0.01
SLC25A53	mouse	mir197	-0.063
GIP	mouse	mir197	-0.202
ACSL3	mouse	mir197	-0.01
PAPD5	mouse	mir197	-0.098
PLN	mouse	mir197	-0.154
SSTR2	mouse	mir197	-0.155
AP1B1	mouse	mir197	-0.263
BMX	mouse	mir197	-0.336
PIGN	mouse	mir197	-0.153
METTL20	mouse	mir197	-0.344
CREB5	mouse	mir197	-0.01
NAT9	mouse	mir197	-0.313
AIG1	mouse	mir197	-0.266
AQPEP	mouse	mir197	-0.169
S1PR3	mouse	mir197	-0.132
NF1	mouse	mir197	-0.071
FAM217B	mouse	mir197	-0.057
C16orf47	mouse	mir197	-0.131
CACNA1H	mouse	mir197	-0.026
ZXDA	mouse	mir197	-0.015
QSOX2	mouse	mir197	-0.286
ZBTB18	mouse	mir197	-0.116
TTC37	mouse	mir197	-0.041
FUT4	mouse	mir197	-0.01
ACADSB	mouse	mir197	-0.01
FAM76B	mouse	mir197	-0.094
FAM114A1	mouse	mir197	-0.237
NOL12	mouse	mir197	-0.219
VSIG10	mouse	mir197	-0.072
CMTM5	mouse	mir197	-0.117
KLHL14	mouse	mir197	-0.147
PLCG2	mouse	mir197	-0.045
C1orf116	mouse	mir197	-0.049
SLC25A44	mouse	mir197	-0.01
ATG13	mouse	mir197	-0.128
KCNK5	mouse	mir197	-0.01
CPLX2	mouse	mir197	-0.176
HAND2	mouse	mir197	-0.034
PCNT	mouse	mir197	-0.09
ARPC5	mouse	mir197	-0.163
DHDDS	mouse	mir197	-0.01
SCN3A	mouse	mir197	-0.046
SPN	mouse	mir197	-0.01
CD300A	mouse	mir197	-0.224
SSH1	mouse	mir197	-0.01
CUX1	mouse	mir197	-0.02
MSN	mouse	mir197	-0.161
GATAD2A	mouse	mir197	-0.084
PEA15	mouse	mir197	-0.139
SLC17A2	mouse	mir197	-0.385
CNPPD1	mouse	mir197	-0.148
DPP3	mouse	mir197	-0.192
KLK3	mouse	mir197	-0.044
ZNF148	mouse	mir197	-0.02
NAV2	mouse	mir197	-0.01
PCGF2	mouse	mir197	-0.028
CDK5RAP2	mouse	mir197	-0.05
SCUBE1	mouse	mir197	-0.02
SEZ6L	mouse	mir197	-0.023
HS3ST3B1	mouse	mir197	-0.208
LAMC3	mouse	mir197	-0.082
CAPZA2	mouse	mir197	-0.205
PJA2	mouse	mir197	-0.296
TMEM123	mouse	mir197	-0.091
CNOT7	mouse	mir197	-0.145
LRRTM3	mouse	mir197	-0.298
ZSCAN20	mouse	mir197	-0.203
KIAA0753	mouse	mir197	-0.059
ESRRG	mouse	mir197	-0.016
SEPN1	mouse	mir197	-0.01
MUC2	mouse	mir197	-0.096
NAA35	mouse	mir197	-0.099
RUNDC1	mouse	mir197	-0.12
TIFA	mouse	mir197	-0.209
CNTNAP2	mouse	mir197	-0.105
CYB5R3	mouse	mir197	-0.291
CD3E	mouse	mir197	-0.034
NOS1AP	mouse	mir197	-0.017
ARMCX6	mouse	mir197	-0.23
SCCPDH	mouse	mir197	-0.138
KIF26B	mouse	mir197	-0.03
WDR64	mouse	mir197	-0.16
CHML	mouse	mir197	-0.16
KMO	mouse	mir197	-0.149
MTR	mouse	mir197	-0.133
ACTN2	mouse	mir197	-0.06
B3GALNT2	mouse	mir197	-0.14
TOMM20	mouse	mir197	-0.314
IRF2BP2	mouse	mir197	-0.01
TSNAX	mouse	mir197	-0.144
C1orf198	mouse	mir197	-0.07
OTX1	mouse	mir197	-0.028
TAF5L	mouse	mir197	-0.158
CCSAP	mouse	mir197	-0.12
CDC42BPA	mouse	mir197	-0.03
H3F3A	mouse	mir197	-0.13
TMEM63A	mouse	mir197	-0.101
FGFR1OP	mouse	mir197	-0.079
CAPN8	mouse	mir197	-0.074
IARS2	mouse	mir197	-0.174
SLC30A10	mouse	mir197	-0.01
GPATCH2	mouse	mir197	-0.146
PROX1	mouse	mir197	-0.02
INTS7	mouse	mir197	-0.095
LPGAT1	mouse	mir197	-0.013
NEK2	mouse	mir197	-0.235
HSD11B1	mouse	mir197	-0.142
PLXNA2	mouse	mir197	-0.01
CD55	mouse	mir197	-0.208
PFKFB2	mouse	mir197	-0.1
SYTL3	mouse	mir197	-0.282
NUCKS1	mouse	mir197	-0.01
DSTYK	mouse	mir197	-0.135
TMEM81	mouse	mir197	-0.12
PPP1R15B	mouse	mir197	-0.107
RGS17	mouse	mir197	-0.01
ADORA1	mouse	mir197	-0.221
SYNE1	mouse	mir197	-0.043
KDM5B	mouse	mir197	-0.156
NR5A2	mouse	mir197	-0.075
LHX9	mouse	mir197	-0.219
ZBTB41	mouse	mir197	-0.01
CDC73	mouse	mir197	-0.011
TAB2	mouse	mir197	-0.084
RGS18	mouse	mir197	-0.278
TPR	mouse	mir197	-0.067
RNF2	mouse	mir197	-0.111
FAM129A	mouse	mir197	-0.048
SMG7	mouse	mir197	-0.037
DHX9	mouse	mir197	-0.183
RNASEL	mouse	mir197	-0.201
TEDDM1	mouse	mir197	-0.011
LTV1	mouse	mir197	-0.165
KIAA1614	mouse	mir197	-0.01
PAPPA2	mouse	mir197	-0.101
TNR	mouse	mir197	-0.02
BLZF1	mouse	mir197	-0.036
MYB	mouse	mir197	-0.376
HBS1L	mouse	mir197	-0.01
STX7	mouse	mir197	-0.01
CTGF	mouse	mir197	-0.092
IFI16	mouse	mir197	-0.189
CD1D	mouse	mir197	-0.103
CD5L	mouse	mir197	-0.039
SEMA4A	mouse	mir197	-0.198
RIT1	mouse	mir197	-0.364
TRIM46	mouse	mir197	-0.238
NKAIN2	mouse	mir197	-0.01
INPP5A	mouse	mir197	-0.199
EBF3	mouse	mir197	-0.338
UROS	mouse	mir197	-0.237
SNX27	mouse	mir197	-0.029
GABPB2	mouse	mir197	-0.05
HTRA1	mouse	mir197	-0.074
NR2E1	mouse	mir197	-0.074
QRSL1	mouse	mir197	-0.056
SEC23IP	mouse	mir197	-0.107
PRDM1	mouse	mir197	-0.087
TIAL1	mouse	mir197	-0.095
C1orf51	mouse	mir197	-0.357
BOLA1	mouse	mir197	-0.107
HIST2H2BE	mouse	mir197	-0.162
FAM204A	mouse	mir197	-0.01
SIM1	mouse	mir197	-0.01
ACP6	mouse	mir197	-0.035
FAM160B1	mouse	mir197	-0.182
CD160	mouse	mir197	-0.104
EPHA7	mouse	mir197	-0.01
ANKRD6	mouse	mir197	-0.114
RRAGD	mouse	mir197	-0.025
TECTB	mouse	mir197	-0.123
WDR3	mouse	mir197	-0.564
SHOC2	mouse	mir197	-0.352
MTCP1	mouse	mir197	-0.067
RNGTT	mouse	mir197	-0.17
IGSF3	mouse	mir197	-0.02
CD58	mouse	mir197	-0.184
FUNDC2	mouse	mir197	-0.128
MAB21L3	mouse	mir197	-0.016
TSPAN2	mouse	mir197	-0.166
ZNF292	mouse	mir197	-0.01
SMNDC1	mouse	mir197	-0.157
WNT2B	mouse	mir197	-0.02
DDX20	mouse	mir197	-0.015
ATP6AP1	mouse	mir197	-0.103
SH3PXD2A	mouse	mir197	-0.02
RBM15	mouse	mir197	-0.072
KCNC4	mouse	mir197	-0.057
CALHM2	mouse	mir197	-0.01
NEURL1B	mouse	mir197	-0.035
ELOVL4	mouse	mir197	-0.111
SH3BGRL2	mouse	mir197	-0.012
GNAI3	mouse	mir197	-0.035
CNNM2	mouse	mir197	-0.036
ZNF512B	mouse	mir197	-0.026
WBP1L	mouse	mir197	-0.051
SARS	mouse	mir197	-0.067
C10orf76	mouse	mir197	-0.193
FAM102B	mouse	mir197	-0.023
GMEB2	mouse	mir197	-0.03
DPYD	mouse	mir197	-0.01
GABRQ	mouse	mir197	-0.01
SLC17A9	mouse	mir197	-0.232
SCD	mouse	mir197	-0.089
OGFRL1	mouse	mir197	-0.16
AFF2	mouse	mir197	-0.02
MRGBP	mouse	mir197	-0.118
HS2ST1	mouse	mir197	-0.01
MCOLN2	mouse	mir197	-0.243
CTBS	mouse	mir197	-0.027
MAP7D3	mouse	mir197	-0.123
DDX26B	mouse	mir197	-0.187
FAM73A	mouse	mir197	-0.115
PHF6	mouse	mir197	-0.07
BMP5	mouse	mir197	-0.073
PTGER3	mouse	mir197	-0.156
LRRC40	mouse	mir197	-0.059
IL12RB2	mouse	mir197	-0.07
FRAT2	mouse	mir197	-0.113
ZNF831	mouse	mir197	-0.03
SGIP1	mouse	mir197	-0.01
RAVER2	mouse	mir197	-0.076
ALG6	mouse	mir197	-0.182
OCRL	mouse	mir197	-0.01
TM9SF3	mouse	mir197	-0.102
STAG2	mouse	mir197	-0.372
OPN5	mouse	mir197	-0.034
OMA1	mouse	mir197	-0.123
C8B	mouse	mir197	-0.822
CYP2C8	mouse	mir197	-0.081
DMRTB1	mouse	mir197	-0.095
CEP55	mouse	mir197	-0.177
ADNP	mouse	mir197	-0.01
EDF1	mouse	mir197	-0.159
UBE2V1	mouse	mir197	-0.079
KCNB1	mouse	mir197	-0.032
AGBL4	mouse	mir197	-0.141
TAL1	mouse	mir197	-0.217
AGTR2	mouse	mir197	-0.196
ARFGEF2	mouse	mir197	-0.085
EFCAB14	mouse	mir197	-0.113
PTEN	mouse	mir197	-0.024
CHRDL1	mouse	mir197	-0.222
TP53RK	mouse	mir197	-0.575
DDX31	mouse	mir197	-0.08
MAT1A	mouse	mir197	-0.15
ANXA11	mouse	mir197	-0.131
C1orf50	mouse	mir197	-0.13
CXorf57	mouse	mir197	-0.185
FOXJ3	mouse	mir197	-0.236
HIVEP3	mouse	mir197	-0.02
TP53TG5	mouse	mir197	-0.01
COL9A2	mouse	mir197	-0.076
ZMAT1	mouse	mir197	-0.1
HEYL	mouse	mir197	-0.01
SYNPO2L	mouse	mir197	-0.073
DNAJC9	mouse	mir197	-0.361
NOX1	mouse	mir197	-0.139
RRAGC	mouse	mir197	-0.038
INPP5B	mouse	mir197	-0.055
MTF1	mouse	mir197	-0.01
SPOCK2	mouse	mir197	-0.057
KLHL4	mouse	mir197	-0.03
APOOL	mouse	mir197	-0.141
MOCS1	mouse	mir197	-0.196
SGPL1	mouse	mir197	-0.109
AGO1	mouse	mir197	-0.01
SAYSD1	mouse	mir197	-0.366
H2AFY2	mouse	mir197	-0.014
BRWD3	mouse	mir197	-0.1
ANKMY1	mouse	mir197	-0.108
TRAF3IP1	mouse	mir197	-0.02
CSMD2	mouse	mir197	-0.01
S100PBP	mouse	mir197	-0.062
RBBP4	mouse	mir197	-0.01
PHKA1	mouse	mir197	-0.215
MTCH1	mouse	mir197	-0.321
CRB2	mouse	mir197	-0.093
RC3H2	mouse	mir197	-0.094
KCTD20	mouse	mir197	-0.182
NKAIN1	mouse	mir197	-0.227
MATN1	mouse	mir197	-0.127
ADO	mouse	mir197	-0.155
GMEB1	mouse	mir197	-0.084
EYA3	mouse	mir197	-0.01
UBE2D1	mouse	mir197	-0.086
STX12	mouse	mir197	-0.037
ZNF76	mouse	mir197	-0.15
TNFSF15	mouse	mir197	-0.168
SNX30	mouse	mir197	-0.106
FOXO4	mouse	mir197	-0.167
UGCG	mouse	mir197	-0.296
LDLRAP1	mouse	mir197	-0.119
RPL11	mouse	mir197	-0.543
EPB41L4B	mouse	mir197	-0.1
TMEM245	mouse	mir197	-0.093
TCEA3	mouse	mir197	-0.195
C1QC	mouse	mir197	-0.298
AR	mouse	mir197	-0.097
EDA2R	mouse	mir197	-0.01
NTM	mouse	mir197	-0.01
SMC2	mouse	mir197	-0.027
ZNF189	mouse	mir197	-0.196
INVS	mouse	mir197	-0.074
FLJ45079	mouse	mir197	-0.215
PFKFB1	mouse	mir197	-0.084
GALNT12	mouse	mir197	-0.014
PBX2	mouse	mir197	-0.327
FGD1	mouse	mir197	-0.052
TSR2	mouse	mir197	-0.539
C20orf144	mouse	mir197	-0.129
AAED1	mouse	mir197	-0.472
KIAA1462	mouse	mir197	-0.179
NINJ1	mouse	mir197	-0.161
FGD3	mouse	mir197	-0.14
OMD	mouse	mir197	-0.166
IARS	mouse	mir197	-0.094
FAM131C	mouse	mir197	-0.229
ROR2	mouse	mir197	-0.103
KIF3B	mouse	mir197	-0.063
SYK	mouse	mir197	-0.01
KYNU	mouse	mir197	-0.14
SECISBP2	mouse	mir197	-0.018
SHC3	mouse	mir197	-0.02
C9orf47	mouse	mir197	-0.087
FOXS1	mouse	mir197	-0.355
NUDT10	mouse	mir197	-0.144
KAZN	mouse	mir197	-0.032
AKAP4	mouse	mir197	-0.065
CLCN5	mouse	mir197	-0.06
ATP6V1G2	mouse	mir197	-0.156
ABI1	mouse	mir197	-0.061
NTRK2	mouse	mir197	-0.01
ZIC2	mouse	mir197	-0.132
MAGIX	mouse	mir197	-0.193
GPR158	mouse	mir197	-0.121
UBQLN1	mouse	mir197	-0.02
KCND1	mouse	mir197	-0.106
NPPA	mouse	mir197	-0.362
PPP1R10	mouse	mir197	-0.02
PIP4K2A	mouse	mir197	-0.22
FARP1	mouse	mir197	-0.127
MTHFR	mouse	mir197	-0.02
GNL1	mouse	mir197	-0.01
BMI1	mouse	mir197	-0.059
GPR133	mouse	mir197	-0.078
PCSK5	mouse	mir197	-0.121
C9orf41	mouse	mir197	-0.213
RORB	mouse	mir197	-0.01
C1orf127	mouse	mir197	-0.102
NAPB	mouse	mir197	-0.235
CORT	mouse	mir197	-0.28
UBD	mouse	mir197	-0.378
ITGA2B	mouse	mir197	-0.231
MLLT10	mouse	mir197	-0.223
NEBL	mouse	mir197	-0.126
KLF9	mouse	mir197	-0.01
POU4F1	mouse	mir197	-0.124
LZIC	mouse	mir197	-0.09
TJP2	mouse	mir197	-0.417
ARL5B	mouse	mir197	-0.015
CLSTN1	mouse	mir197	-0.017
H6PD	mouse	mir197	-0.01
GPR157	mouse	mir197	-0.02
IRG1	mouse	mir197	-0.202
ERRFI1	mouse	mir197	-0.123
UTS2	mouse	mir197	-0.151
KLF5	mouse	mir197	-0.228
NOL9	mouse	mir197	-0.164
RRBP1	mouse	mir197	-0.097
ESPN	mouse	mir197	-0.109
HES2	mouse	mir197	-0.01
ARHGAP26	mouse	mir197	-0.01
FBXO47	mouse	mir197	-0.127
TPRG1L	mouse	mir197	-0.023
HSPA14	mouse	mir197	-0.165
PAK7	mouse	mir197	-0.111
DCDC2	mouse	mir197	-0.047
SLC35B4	mouse	mir197	-0.13
CYBB	mouse	mir197	-0.24
LRP4	mouse	mir197	-0.144
COX7A2L	mouse	mir197	-0.381
HTR2A	mouse	mir197	-0.266
RAD50	mouse	mir197	-0.01
CAMK1D	mouse	mir197	-0.073
SIGMAR1	mouse	mir197	-0.059
DKFZP779J2370	mouse	mir197	-0.189
IL1RAPL1	mouse	mir197	-0.148
GPCPD1	mouse	mir197	-0.065
WT1	mouse	mir197	-0.044
LGR4	mouse	mir197	-0.01
PTCHD1	mouse	mir197	-0.01
TMEM194A	mouse	mir197	-0.073
TMEM170B	mouse	mir197	-0.01
ZNF827	mouse	mir197	-0.124
YPEL5	mouse	mir197	-0.093
FAM179A	mouse	mir197	-0.03
HGSNAT	mouse	mir197	-0.117
MAP7D2	mouse	mir197	-0.341
AC074091.13	mouse	mir197	-0.376
NBEA	mouse	mir197	-0.132
IL2RA	mouse	mir197	-0.227
C9orf72	mouse	mir197	-0.206
SCML1	mouse	mir197	-0.554
NHS	mouse	mir197	-0.033
STEAP4	mouse	mir197	-0.319
KL	mouse	mir197	-0.015
TXLNG	mouse	mir197	-0.465
MTAP	mouse	mir197	-0.309
AP1S2	mouse	mir197	-0.031
MLLT3	mouse	mir197	-0.013
PLIN2	mouse	mir197	-0.369
COL4A3BP	mouse	mir197	-0.21
HAUS6	mouse	mir197	-0.044
GEMIN8	mouse	mir197	-0.1
AKR1C3	mouse	mir197	-0.146
IGSF5	mouse	mir197	-0.129
SLC25A51	mouse	mir197	-0.088
TCEANC	mouse	mir197	-0.025
EGFL6	mouse	mir197	-0.117
PTCD2	mouse	mir197	-0.186
HADHA	mouse	mir197	-0.031
PDE4A	mouse	mir197	-0.015
SERF1B	mouse	mir197	-0.25
SLC7A1	mouse	mir197	-0.02
AKR1C2	mouse	mir197	-0.149
SNAPC3	mouse	mir197	-0.059
AKR1C1	mouse	mir197	-0.186
SHROOM2	mouse	mir197	-0.01
RUFY3	mouse	mir197	-0.025
CDX2	mouse	mir197	-0.09
IGFBP3	mouse	mir197	-0.456
KIF2A	mouse	mir197	-0.053
KIAA1644	mouse	mir197	-0.01
SMOC1	mouse	mir197	-0.016
ITPR2	mouse	mir197	-0.02
PP13004	mouse	mir197	-0.204
TEC	mouse	mir197	-0.153
CD274	mouse	mir197	-0.071
ZMYND11	mouse	mir197	-0.335
ZZEF1	mouse	mir197	-0.01
JAK2	mouse	mir197	-0.068
YWHAQ	mouse	mir197	-0.271
PPAPDC2	mouse	mir197	-0.01
ANGPT4	mouse	mir197	-0.01
CLEC6A	mouse	mir197	-0.109
LGI2	mouse	mir197	-0.01
TNFRSF19	mouse	mir197	-0.037
BST1	mouse	mir197	-0.01
ZCCHC3	mouse	mir197	-0.122
RP1L1	mouse	mir197	-0.304
SEMA5A	mouse	mir197	-0.01
HTRA3	mouse	mir197	-0.02
SAP18	mouse	mir197	-0.771
FOXG1	mouse	mir197	-0.218
KCNA1	mouse	mir197	-0.048
PRMT8	mouse	mir197	-0.288
SIRT3	mouse	mir197	-0.257
ZMYM2	mouse	mir197	-0.021
ZIC4	mouse	mir197	-0.01
STAG1	mouse	mir197	-0.131
CADM2	mouse	mir197	-0.01
SLMAP	mouse	mir197	-0.1
OTOA	mouse	mir197	-0.129
KCNQ3	mouse	mir197	-0.01
C17orf59	mouse	mir197	-0.066
STK38L	mouse	mir197	-0.31
DENND5B	mouse	mir197	-0.03
UNKL	mouse	mir197	-0.076
WIZ	mouse	mir197	-0.115
PRTG	mouse	mir197	-0.01
C7orf63	mouse	mir197	-0.105
SMYD5	mouse	mir197	-0.22
CAMSAP1	mouse	mir197	-0.075
FAXC	mouse	mir197	-0.01
PKP4	mouse	mir197	-0.514
KRTAP2	mouse	mir197	-0.198
FAM127C	mouse	mir197	-0.235
KRTAP10	mouse	mir197	-0.222
SPRTN	mouse	mir197	-0.038
ZNF180	mouse	mir197	-0.299
SEPT2	mouse	mir197	-0.141
GPR55	mouse	mir197	-0.221
NFKBIB	mouse	mir197	-0.096
XRCC5	mouse	mir197	-0.01
ZFP82	mouse	mir197	-0.26
BDH1	mouse	mir197	-0.539
OPA1	mouse	mir197	-0.136
CCDC50	mouse	mir197	-0.042
NCOA7	mouse	mir197	-0.182
CD300LB	mouse	mir197	-0.249
KLHL23	mouse	mir197	-0.125
B3GALT1	mouse	mir197	-0.01
USP45	mouse	mir197	-0.398
CD79B	mouse	mir197	-0.282
SMIM8	mouse	mir197	-0.288
GTDC1	mouse	mir197	-0.01
GRK5	mouse	mir197	-0.01
TDG	mouse	mir197	-0.013
NT5DC3	mouse	mir197	-0.02
GPSM1	mouse	mir197	-0.353
GK5	mouse	mir197	-0.023
DBH	mouse	mir197	-0.166
SERPINA3	mouse	mir197	-0.195
CASP5	mouse	mir197	-0.531
IL1F10	mouse	mir197	-0.235
NRF1	mouse	mir197	-0.349
TNPO3	mouse	mir197	-0.01
MAF	mouse	mir197	-0.178
TGFBRAP1	mouse	mir197	-0.02
SNX11	mouse	mir197	-0.213
ALDH1L1	mouse	mir197	-0.175
KALRN	mouse	mir197	-0.215
COG5	mouse	mir197	-0.285
ERGIC1	mouse	mir197	-0.113
UBTD2	mouse	mir197	-0.148
PPP6R3	mouse	mir197	-0.08
ST3GAL5	mouse	mir197	-0.079
CCDC176	mouse	mir197	-0.219
C7orf43	mouse	mir197	-0.127
KRT222	mouse	mir197	-0.353
G3BP1	mouse	mir197	-0.138
CNPY3	mouse	mir197	-0.274
ZSCAN25	mouse	mir197	-0.049
CDH11	mouse	mir197	-0.133
USP49	mouse	mir197	-0.034
CACNB1	mouse	mir197	-0.364
TADA2A	mouse	mir197	-0.276
RSPRY1	mouse	mir197	-0.01
AHSA2	mouse	mir197	-0.027
ELOVL6	mouse	mir197	-0.193
RTN4	mouse	mir197	-0.148
AKTIP	mouse	mir197	-0.116
RPL34	mouse	mir197	-0.277
SGMS2	mouse	mir197	-0.089
BRD7	mouse	mir197	-0.197
HSPA2	mouse	mir197	-0.01
AKAP5	mouse	mir197	-0.234
SFMBT1	mouse	mir197	-0.01
CXXC4	mouse	mir197	-0.01
C16orf87	mouse	mir197	-0.204
MYLK3	mouse	mir197	-0.148
DNAJA4	mouse	mir197	-0.17
FLOT2	mouse	mir197	-0.065
SPOCK1	mouse	mir197	-0.01
ZNF646	mouse	mir197	-0.163
ZBTB9	mouse	mir197	-0.263
AFF1	mouse	mir197	-0.042
DACT1	mouse	mir197	-0.227
TIMM9	mouse	mir197	-0.052
HERC4	mouse	mir197	-0.14
LYNX1	mouse	mir197	-0.074
ZNF365	mouse	mir197	-0.091
LIN54	mouse	mir197	-0.084
ATP2A2	mouse	mir197	-0.01
CNIH1	mouse	mir197	-0.099
EXT2	mouse	mir197	-0.048
PURB	mouse	mir197	-0.072
FRMD6	mouse	mir197	-0.01
MIOX	mouse	mir197	-0.14
IL4R	mouse	mir197	-0.138
AFP	mouse	mir197	-0.1
CDKL1	mouse	mir197	-0.04
ATP6V1C1	mouse	mir197	-0.139
HECW1	mouse	mir197	-0.01
YWHAZ	mouse	mir197	-0.118
FAM172A	mouse	mir197	-0.071
ST8SIA1	mouse	mir197	-0.01
GCNT3	mouse	mir197	-0.025
ENAM	mouse	mir197	-0.067
JMY	mouse	mir197	-0.02
WDR72	mouse	mir197	-0.01
HNF4G	mouse	mir197	-0.01
ARHGAP21	mouse	mir197	-0.092
KIAA1217	mouse	mir197	-0.209
CLEC12B	mouse	mir197	-0.047
POLR3H	mouse	mir197	-0.122
TRIM39	mouse	mir197	-0.139
SLC12A1	mouse	mir197	-0.015
SLC30A5	mouse	mir197	-0.063
ARL4A	mouse	mir197	-0.444
TMEM106B	mouse	mir197	-0.145
EAF1	mouse	mir197	-0.159
RALGAPB	mouse	mir197	-0.01
CCNF	mouse	mir197	-0.078
GPER1	mouse	mir197	-0.12
NCF4	mouse	mir197	-0.125
RGN	mouse	mir197	-0.406
CARKD	mouse	mir197	-0.195
PAFAH1B1	mouse	mir197	-0.05
DEK	mouse	mir197	-0.205
MYCL	mouse	mir197	-0.252
NADK2	mouse	mir197	-0.089
BCOR	mouse	mir197	-0.185
CRAMP1L	mouse	mir197	-0.01
ESCO2	mouse	mir197	-0.176
LYPD1	mouse	mir197	-0.109
C15orf52	mouse	mir197	-0.01
SSTR5	mouse	mir197	-0.045
SUDS3	mouse	mir197	-0.064
FAM98B	mouse	mir197	-0.169
PDCD1LG2	mouse	mir197	-0.305
TTC28	mouse	mir197	-0.01
KIAA1468	mouse	mir197	-0.105
ADAM22	mouse	mir197	-0.032
DLG2	mouse	mir197	-0.061
MPP3	mouse	mir197	-0.245
MSL1	mouse	mir197	-0.053
FRMD4B	mouse	mir197	-0.286
TMF1	mouse	mir197	-0.051
C2orf73	mouse	mir197	-0.082
GPR111	mouse	mir197	-0.1
GRB10	mouse	mir197	-0.047
DYNC2LI1	mouse	mir197	-0.129
RPRD1A	mouse	mir197	-0.208
COL25A1	mouse	mir197	-0.075
MYT1L	mouse	mir197	-0.02
SMIM11	mouse	mir197	-0.272
C14orf23	mouse	mir197	-0.029
COL28A1	mouse	mir197	-0.588
TRPV1	mouse	mir197	-0.049
KDM5A	mouse	mir197	-0.02
UBE2QL1	mouse	mir197	-0.133
MAGEB16	mouse	mir197	-0.119
L3MBTL4	mouse	mir197	-0.128
NRIP1	mouse	mir197	-0.01
CSNK2A1	mouse	mir197	-0.033
ATP13A4	mouse	mir197	-0.187
FAM69C	mouse	mir197	-0.578
SIAH3	mouse	mir197	-0.01
SMIM2	mouse	mir197	-0.303
CECR2	mouse	mir197	-0.366
XPO4	mouse	mir197	-0.111
ZG16	mouse	mir197	-0.079
CCR2	mouse	mir197	-0.085
C1orf86	mouse	mir197	-0.01
NFASC	mouse	mir197	-0.01
GAREML	mouse	mir197	-0.346
SUV420H1	mouse	mir197	-0.432
SCFD2	mouse	mir197	-0.303
POP1	mouse	mir197	-0.01
APOBEC3H	mouse	mir197	-0.294
LFNG	mouse	mir197	-0.032
AC091801.1	mouse	mir197	-0.199
KIAA1841	mouse	mir197	-0.164
DRP2	mouse	mir197	-0.01
C22orf46	mouse	mir197	-0.105
FAM98A	mouse	mir197	-0.043
EFR3B	mouse	mir197	-0.081
ZBTB40	mouse	mir197	-0.118
SDK1	mouse	mir197	-0.01
FAM161A	mouse	mir197	-0.052
PAPOLB	mouse	mir197	-0.014
NRXN1	mouse	mir197	-0.129
NXPH1	mouse	mir197	-0.04
MSH2	mouse	mir197	-0.025
DPP6	mouse	mir197	-0.084
RMDN2	mouse	mir197	-0.158
TRIOBP	mouse	mir197	-0.01
DNMT3A	mouse	mir197	-0.184
COMMD6	mouse	mir197	-0.387
NLK	mouse	mir197	-0.192
ISPD	mouse	mir197	-0.038
LAGE3	mouse	mir197	-0.47
CDK11B	mouse	mir197	-0.171
ERCC6L2	mouse	mir197	-0.192
AC093802.1	mouse	mir197	-0.224
HERC3	mouse	mir197	-0.509
PRDM6	mouse	mir197	-0.01
ICA1	mouse	mir197	-0.029
CHRNA2	mouse	mir197	-0.168
RBM34	mouse	mir197	-0.66
XKR9	mouse	mir197	-0.167
RAP1GDS1	mouse	mir197	-0.02
FOXP2	mouse	mir197	-0.054
C5orf55	mouse	mir197	-0.333
SAMD12	mouse	mir197	-0.084
TMEM194B	mouse	mir197	-0.01
XIRP2	mouse	mir197	-0.01
FAM185A	mouse	mir197	-0.084
AFF3	mouse	mir197	-0.01
TET3	mouse	mir197	-0.02
PTCD3	mouse	mir197	-0.128
ARHGEF4	mouse	mir197	-0.13
IPO11	mouse	mir197	-0.255
KIAA0922	mouse	mir197	-0.071
PRPF40A	mouse	mir197	-0.13
TMEM182	mouse	mir197	-0.209
ABCC4	mouse	mir197	-0.01
IFLTD1	mouse	mir197	-0.106
NFATC4	mouse	mir197	-0.01
ATP5J2	mouse	mir197	-0.058
WDR26	mouse	mir197	-0.034
ASRGL1	mouse	mir197	-0.156
COG6	mouse	mir197	-0.164
TMPPE	mouse	mir197	-0.02
MUSK	mouse	mir197	-0.207
