dotCount	x	y	frequency	colour	size	pval	description	legend	members	representative	user
116	-2.548188389480235	-0.02282413832320713	1.8638474373757203	-2.362510270487489	1.0986122886681098	0.00434	mammary gland morphogenesis	116. mammary gland morphogenesis	['GO:0060443', 'GO:0022612']	GO:0060443	0
117	-0.5688426490431754	-1.8065743727850987	1.4522351656877124	-2.283996656365201	1.0986122886681098	0.0052	peptidyl-serine phosphorylation	117. peptidyl-serine phosphorylation	['GO:0018105', 'GO:0018209']	GO:0018105	0
118	0.14649302792514385	-2.3265271810083465	1.4769844620846477	-2.279840696594043	1.3862943611198906	0.00525	cellular response to biotic stimulus	118. cellular response to biotic stimulus	['GO:0071216', 'GO:0071222', 'GO:0071219']	GO:0071216	0
119	-1.5044771768493654	-2.131181126867495	1.3928839882491277	-2.279840696594043	1.6094379124341003	0.00525	multicellular organismal-level homeostasis	119. multicellular organismal-level homeostasis	['GO:0048872', 'GO:0048871', 'GO:0043029', 'GO:0001776']	GO:0048871	0
120	2.5223203225585493	-0.14023927603425854	1.5754727083654398	-2.2668027348934308	1.0986122886681098	0.00541	regulation of chondrocyte differentiation	120. regulation of chondrocyte differentiation	['GO:0032330', 'GO:0061035']	GO:0032330	0
121	-0.5621712638343485	-1.7378097213031576	1.5758432808039187	-2.202040356262804	1.0986122886681098	0.00628	peptidyl-threonine phosphorylation	121. peptidyl-threonine phosphorylation	['GO:0018107', 'GO:0018210']	GO:0018107	0
122	-1.0654777157364894	-1.4930064399793335	0.3945016256870918	-2.1999706407558657	1.0986122886681098	0.00631	cellular component organization	122. cellular component organization	['GO:0016043', 'GO:0071840']	GO:0016043	0
123	-0.9944883487769652	-1.3820310756448515	1.2770678030453555	-2.1972262747080245	1.0986122886681098	0.00635	DNA unwinding involved in DNA replication	123. DNA unwinding involved in DNA replication	['GO:0006268', 'GO:0032392']	GO:0006268	0
124	0.33268216736634054	1.1769945902006598	1.6318277300009896	-2.1745738822321767	1.0986122886681098	0.00669	regulation of tumor necrosis factor-mediated signaling pathway	124. regulation of tumor necrosis factor-mediated signaling pathway	['GO:0010803', 'GO:0001959']	GO:0010803	0
125	-0.7450745499211854	-1.0043625314757123	0.8496236042547359	-2.1493537648169334	0.6931471805599453	0.00709	cell cycle	125. cell cycle	['GO:0007049']	GO:0007049	0
126	-1.3385411481607075	-1.6776075353124917	1.8834537370627542	-2.1487416512809245	1.0986122886681098	0.0071	epithelium migration	126. epithelium migration	['GO:0090132', 'GO:0090130']	GO:0090132	0
127	1.069348470305962	0.05491593794167034	1.5756166546100012	-2.1023729087095586	1.0986122886681098	0.0079	positive regulation of protein binding	127. positive regulation of protein binding	['GO:0032092', 'GO:0051099']	GO:0032092	0
128	0.6929839712807361	1.775161371166737	1.1564432548923953	-2.0958256317158366	1.0986122886681098	0.00802	regulation of cellular localization	128. regulation of cellular localization	['GO:0060341', 'GO:0032880']	GO:0060341	0
129	-0.4046102860128736	-1.187937270861574	1.367575593514318	-2.069050968832477	1.3862943611198906	0.00853	developmental growth	129. developmental growth	['GO:0035265', 'GO:0048589', 'GO:0040007']	GO:0048589	0
130	0.700975051796895	1.7342814649340752	1.0946251681002335	-2.0530567293021744	1.3862943611198906	0.00885	regulation of transport	130. regulation of transport	['GO:0051050', 'GO:0051049', 'GO:0032879']	GO:0051049	0
131	-0.9465888259977107	-1.230918101141145	1.6780698818461437	-2.048176964684088	1.0986122886681098	0.00895	release of cytochrome c from mitochondria	131. release of cytochrome c from mitochondria	['GO:0001836', 'GO:0071103']	GO:0001836	0
132	-3.6216246939659404	0.9743791723875876	1.357044139742666	-1.978810700930062	1.3862943611198906	0.0105	T cell differentiation in thymus	132. T cell differentiation in thymus	['GO:0033077', 'GO:0030098', 'GO:1903131']	GO:0033077	0
133	0.5223555600249747	1.8369278966008928	1.5985104423104954	-1.958607314841775	1.0986122886681098	0.011	positive regulation of miRNA metabolic process	133. positive regulation of miRNA metabolic process	['GO:2000630', 'GO:2000628']	GO:2000630	0
134	-0.5322605490672389	-1.2650034382001087	1.0440848261956857	-1.9546770212133424	1.0986122886681098	0.0111	protein localization to membrane	134. protein localization to membrane	['GO:0072657', 'GO:0051668']	GO:0072657	0
135	0.1788607961847471	-2.1565730164999604	1.8031891427096407	-1.9469215565165803	1.0986122886681098	0.0113	detection of muscle stretch	135. detection of muscle stretch	['GO:0035995', 'GO:0035994']	GO:0035995	0
136	0.34070315835635095	-3.3539106962199163	1.8004220472514756	-1.9430951486635273	1.3862943611198906	0.0114	cellular response to indole-3-methanol	136. cellular response to indole-3-methanol	['GO:0071681', 'GO:0071680', 'GO:0097306']	GO:0071681	0
137	-2.5138544584749267	-0.29017358918127956	1.7674252919400255	-1.9136401693252518	1.3862943611198906	0.0122	endocardial cushion formation	137. endocardial cushion formation	['GO:0003272', 'GO:0048646', 'GO:0060788']	GO:0003272	0
138	-0.3410091385973601	-1.7941249251522566	-0.5366273773331921	-1.9030899869919435	0.6931471805599453	0.0125	macromolecule metabolic process	138. macromolecule metabolic process	['GO:0043170']	GO:0043170	0
139	-3.0450071505810556	-0.5446045187432185	1.5743692617407212	-1.899629454882437	1.0986122886681098	0.0126	pancreas development	139. pancreas development	['GO:0031016', 'GO:0048732']	GO:0031016	0
140	0.6272927823358189	1.2216537992305572	1.6629025983780028	-1.8827287043442358	1.0986122886681098	0.0131	negative regulation of lipid transport	140. negative regulation of lipid transport	['GO:0032369', 'GO:1905953']	GO:0032369	0
141	-2.945230234704177	0.1204187496743896	1.6649557267813644	-1.8794260687941502	1.0986122886681098	0.0132	lung epithelial cell differentiation	141. lung epithelial cell differentiation	['GO:0060487', 'GO:0060479']	GO:0060487	0
142	0.496949179374864	0.8919587317531388	1.4897755791764227	-1.8794260687941502	1.3862943611198906	0.0132	ERBB signaling pathway	142. ERBB signaling pathway	['GO:0038127', 'GO:0007169', 'GO:0048009']	GO:0038127	0
143	-2.8396372055919086	-0.30286417180910036	1.6499785725504248	-1.8446639625349381	1.3862943611198906	0.0143	heart valve development	143. heart valve development	['GO:0003170', 'GO:0003176', 'GO:1905314']	GO:0003170	0
144	0.986263962909768	3.076502549527544	1.5801650258428463	-1.8416375079047504	1.0986122886681098	0.0144	negative regulation of T cell proliferation	144. negative regulation of T cell proliferation	['GO:0042130', 'GO:0050672']	GO:0042130	0
145	-0.4249168702572568	-1.562897707680877	1.184533570559472	-1.8416375079047504	0.6931471805599453	0.0144	DNA replication initiation	145. DNA replication initiation	['GO:0006270']	GO:0006270	0
146	0.39735237207526203	1.9839674264707967	1.5276251787258317	-1.8013429130455774	1.0986122886681098	0.0158	positive regulation of mitochondrion organization	146. positive regulation of mitochondrion organization	['GO:0010822', 'GO:0010638']	GO:0010822	0
147	-3.5208126416056333	0.27587648400479464	1.4018496483141099	-1.7986028756795485	1.3862943611198906	0.0159	cellular component morphogenesis	147. cellular component morphogenesis	['GO:0032989', 'GO:0120039', 'GO:0048812']	GO:0032989	0
148	0.40523221954940136	2.8166968617986785	1.4976970640197844	-1.7746907182741372	1.3862943611198906	0.0168	antigen receptor-mediated signaling pathway	148. antigen receptor-mediated signaling pathway	['GO:0050853', 'GO:0050851', 'GO:0050778']	GO:0050851	0
149	-3.128347665237631	-0.24196710998306	1.6128289203055823	-1.7594507517174003	1.0986122886681098	0.0174	neural crest cell development	149. neural crest cell development	['GO:0014032', 'GO:0048864']	GO:0014032	0
150	-2.7961121582939272	0.12731884350154885	1.6854028875109233	-1.749579997691106	1.0986122886681098	0.0178	camera-type eye morphogenesis	150. camera-type eye morphogenesis	['GO:0048593', 'GO:0048592']	GO:0048593	0
151	-3.011069234374546	0.015233742246293418	1.5895442514558749	-1.749579997691106	1.0986122886681098	0.0178	striated muscle cell differentiation	151. striated muscle cell differentiation	['GO:0051146', 'GO:0042692']	GO:0051146	0
152	-3.1395345524624303	0.6165701581551247	1.642117131172661	-1.739928612014925	1.0986122886681098	0.0182	hair follicle development	152. hair follicle development	['GO:0001942', 'GO:0022404']	GO:0001942	0
153	1.4840387875228669	1.3257288690848201	0.7257530967191487	-1.7328282715969863	1.0986122886681098	0.0185	regulation of biological quality	153. regulation of biological quality	['GO:0065008', 'GO:0065007']	GO:0065008	0
154	2.297036702421813	-0.18710954634476987	1.6522625091544518	-1.6989700043360187	1.0986122886681098	0.02	regulation of endothelial cell differentiation	154. regulation of endothelial cell differentiation	['GO:0045601', 'GO:0030857']	GO:0045601	0
155	0.7826662280194272	0.3904259854594191	1.6429487197962198	-1.6695862266508092	1.3862943611198906	0.0214	regulation of amyloid-beta formation	155. regulation of amyloid-beta formation	['GO:1902003', 'GO:1902991', 'GO:0034248']	GO:1902003	0
156	-2.429453871764107	1.9770446848489842	1.4987062870210937	-1.6695862266508092	1.3862943611198906	0.0214	cellular response to peptide	156. cellular response to peptide	['GO:1901653', 'GO:1901652', 'GO:0043434']	GO:1901653	0
157	0.584724235453321	-3.1816748765848977	1.476062125746334	-1.6363880201078558	1.0986122886681098	0.0231	response to lipopolysaccharide	157. response to lipopolysaccharide	['GO:0032496', 'GO:0002237']	GO:0032496	0
158	2.417916585058159	0.5365434093746949	1.6776389090670385	-1.6345120151091004	1.3862943611198906	0.0232	positive regulation of heart growth	158. positive regulation of heart growth	['GO:0060421', 'GO:0046622', 'GO:0046620']	GO:0060421	0
159	2.8199336562022497	0.286123045770216	1.5250179230808492	-1.6161846340195687	1.0986122886681098	0.0242	negative regulation of nervous system development	159. negative regulation of nervous system development	['GO:0051961', 'GO:0051960']	GO:0051961	0
160	2.0929039412289563	0.5212581723110449	1.559016339927369	-1.585026652029182	1.0986122886681098	0.026	negative regulation of mononuclear cell proliferation	160. negative regulation of mononuclear cell proliferation	['GO:0032945', 'GO:0070664']	GO:0032945	0
161	-0.42335725119149475	-1.6794689410048271	0.6326078846399691	-1.563837352959244	1.6094379124341003	0.0273	DNA-templated transcription	161. DNA-templated transcription	['GO:0006351', 'GO:0032774', 'GO:0018130', 'GO:0019438']	GO:0006351	0
162	1.8111706483091685	0.7029290165524186	1.55811455250091	-1.5575202309355514	1.0986122886681098	0.0277	negative regulation of autophagy	162. negative regulation of autophagy	['GO:0010507', 'GO:0031330']	GO:0010507	0
163	-1.349366960738472	-1.808984628552279	1.7661839727073205	-1.5559552040819238	1.0986122886681098	0.0278	hair cycle	163. hair cycle	['GO:0042633', 'GO:0042303']	GO:0042633	0
164	0.44389649587420266	-3.5214647382575475	1.6711855043816761	-1.5528419686577808	1.0986122886681098	0.028	cellular response to amyloid-beta	164. cellular response to amyloid-beta	['GO:1904646', 'GO:1904645']	GO:1904646	0
165	0.1555071914832082	2.266357864181985	1.6864150306429473	-1.530177984021837	1.0986122886681098	0.0295	TRIF-dependent toll-like receptor signaling pathway	165. TRIF-dependent toll-like receptor signaling pathway	['GO:0035666', 'GO:0002756']	GO:0035666	0
166	-2.7322984678547715	-0.060828410351057766	1.723478301430182	-1.5287082889410615	1.0986122886681098	0.0296	neuron fate determination	166. neuron fate determination	['GO:0048664', 'GO:0001709']	GO:0048664	0
167	-3.0661274674418384	-0.09598725226810631	1.5116125784720345	-1.5272435506827877	1.0986122886681098	0.0297	limb morphogenesis	167. limb morphogenesis	['GO:0035108', 'GO:0035107']	GO:0035108	0
168	0.3089850230139754	0.48599240215508455	1.8170468449322024	-1.5257837359237447	1.0986122886681098	0.0298	ERBB2-ERBB3 signaling pathway	168. ERBB2-ERBB3 signaling pathway	['GO:0038133', 'GO:0038129']	GO:0038133	0
169	0.3813936329917936	2.3130007660153566	1.5007536329542441	-1.5044556624535514	1.0986122886681098	0.0313	positive regulation of intracellular protein transport	169. positive regulation of intracellular protein transport	['GO:0090316', 'GO:0033157']	GO:0090316	0
170	0.327815107826578	2.0910396969241005	1.5740041672589784	-1.4271283977995197	1.0986122886681098	0.0374	positive regulation of protein localization to nucleus	170. positive regulation of protein localization to nucleus	['GO:1900182', 'GO:1900180']	GO:1900182	0
171	2.551044191589445	-0.07606520971963272	1.6140461360609202	-1.424812155072339	1.0986122886681098	0.0376	regulation of erythrocyte differentiation	171. regulation of erythrocyte differentiation	['GO:0045646', 'GO:1903706']	GO:0045646	0
172	-0.2514382003706513	-1.6792204750495148	-0.9277534791886483	-1.4236586497942072	0.6931471805599453	0.0377	nitrogen compound metabolic process	172. nitrogen compound metabolic process	['GO:0006807']	GO:0006807	0
173	-0.1627717809890946	-1.4363368516225854	1.753059731921285	-1.391473966422806	0.6931471805599453	0.0406	synaptic vesicle clustering	173. synaptic vesicle clustering	['GO:0097091']	GO:0097091	0
174	-0.657174516943749	-1.7994783216268038	0.023040453536060563	-1.3904055907747799	1.0986122886681098	0.0407	phosphate-containing compound metabolic process	174. phosphate-containing compound metabolic process	['GO:0006796', 'GO:0006793']	GO:0006796	0
175	0.32598565847728866	2.6382344457368077	1.4771282782416895	-1.38933983691012	1.0986122886681098	0.0408	regulation of T cell proliferation	175. regulation of T cell proliferation	['GO:0042129', 'GO:0050670']	GO:0042129	0
176	0.5340226420738953	0.10579960255977365	1.7787342024274027	-1.38933983691012	1.0986122886681098	0.0408	negative regulation of mitochondrial membrane potential	176. negative regulation of mitochondrial membrane potential	['GO:0010917', 'GO:0045837']	GO:0010917	0
177	-0.6839716569396406	-1.4105139194073282	1.7533594423903174	-1.3882766919926581	1.0986122886681098	0.0409	thymocyte apoptotic process	177. thymocyte apoptotic process	['GO:0070242', 'GO:0071887']	GO:0070242	0
178	-0.3584692545926591	-1.3377169560707476	1.7291011252853392	-1.3861581781239307	0.6931471805599453	0.0411	phospholipid efflux	178. phospholipid efflux	['GO:0033700']	GO:0033700	0
179	-0.7579164012189754	-0.8688153404132596	1.573137413650999	-1.3655227298392685	0.6931471805599453	0.0431	pigmentation	179. pigmentation	['GO:0043473']	GO:0043473	0
180	-2.7348642827673113	-0.1784874198858097	1.5825427208894158	-1.3555614105321614	1.0986122886681098	0.0441	sex differentiation	180. sex differentiation	['GO:0007548', 'GO:0022414']	GO:0007548	0
181	-0.21277790955869416	-1.3681499413459561	1.362963493175202	-1.3439017979871681	0.6931471805599453	0.0453	reproduction	181. reproduction	['GO:0000003']	GO:0000003	0
182	0.9822927719729985	1.3477443379272434	1.704703412048245	-1.332547047110046	1.0986122886681098	0.0465	negative regulation of DNA damage response, signal transduction by p53 class mediator	182. negative regulation of DNA damage response, signal transduction by p53 class mediator	['GO:0043518', 'GO:0043516']	GO:0043518	0
183	0.4894407821392831	0.29230494745266544	1.7575176571811715	-1.3316140833099999	0.6931471805599453	0.0466	progesterone receptor signaling pathway	183. progesterone receptor signaling pathway	['GO:0050847']	GO:0050847	0
184	-0.9730618301941382	-1.1367896795964594	1.625391075716887	-1.3036436112666678	0.6931471805599453	0.0497	adherens junction organization	184. adherens junction organization	['GO:0034332']	GO:0034332	0
